employee_id,date,clock_in_time,clock_out_time
1,2025-03-11,09:22:00,17:45:00
2,2025-03-11,08:01:00,17:22:00
3,2025-03-11,08:50:00,18:39:00
4,2025-03-11,08:35:00,17:40:00
5,2025-03-11,09:18:00,18:51:00
1,2025-03-12,09:25:00,18:17:00
2,2025-03-12,09:05:00,18:42:00
3,2025-03-12,08:06:00,17:14:00
4,2025-03-12,08:52:00,18:39:00
5,2025-03-12,09:58:00,17:46:00
1,2025-03-13,08:22:00,17:44:00
2,2025-03-13,09:04:00,17:34:00
3,2025-03-13,08:02:00,18:27:00
4,2025-03-13,08:34:00,18:15:00
5,2025-03-13,09:32:00,17:47:00
1,2025-03-14,09:47:00,17:09:00
2,2025-03-14,08:37:00,18:54:00
3,2025-03-14,09:24:00,17:11:00
4,2025-03-14,08:48:00,17:51:00
5,2025-03-14,08:44:00,17:07:00
1,2025-03-17,09:46:00,17:01:00
2,2025-03-17,08:23:00,18:56:00
3,2025-03-17,08:04:00,17:12:00
4,2025-03-17,08:19:00,17:50:00
5,2025-03-17,08:06:00,17:33:00
1,2025-03-18,08:25:00,17:48:00
2,2025-03-18,08:31:00,18:29:00
3,2025-03-18,09:01:00,17:24:00
4,2025-03-18,09:13:00,18:56:00
5,2025-03-18,08:28:00,17:28:00
1,2025-03-19,09:31:00,17:24:00
2,2025-03-19,09:52:00,17:37:00
3,2025-03-19,09:27:00,17:02:00
4,2025-03-19,08:39:00,17:20:00
5,2025-03-19,09:46:00,18:36:00
1,2025-03-20,09:45:00,18:49:00
2,2025-03-20,09:41:00,17:27:00
3,2025-03-20,08:10:00,17:09:00
4,2025-03-20,08:26:00,17:36:00
5,2025-03-20,09:52:00,18:50:00
1,2025-03-21,09:16:00,17:03:00
2,2025-03-21,08:38:00,17:06:00
3,2025-03-21,09:08:00,18:46:00
4,2025-03-21,09:42:00,18:49:00
5,2025-03-21,09:19:00,18:32:00
